Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Dish3_Name,Dish3_Quantity_Made (kg),Dish3_Quantity_Consumed (kg),Dish3_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
2018-08-01,Thursday,Cloudy,Baingan Bharta,18.2,35.86,2.22,Paneer Butter Masala,27.69,20.09,0.49,Naan,16.79,18.13,2.11,Paneer Butter Masala,21.83,11.69,3.92,Chole,62.98,71.54,4.55,Naan,336,0.43,5,High,Low,Paratha,Lunch,393,0.22,86.64,90.3,127.82,2.55,411,14g/10g,Low,High,2446,Medium,Less intake today,22.68,Paneer Butter Masala: 20.09 kg; Naan: 18.13 kg; Paneer Butter Masala: 11.69 kg; Chole: 71.54 kg; Naan: 336.00 kg
2011-06-08,Wednesday,Sunny,Dosa,36.05,22.65,2.72,Naan,19.89,10.56,0.44,Aloo Gobi,15.42,12.55,0.21,Dosa,10.38,17.48,0.76,Gulab Jamun,54.21,73.8,7.8,Naan,226,0.23,5,Low,High,Pav Bhaji,Breakfast,183,0.21,82.57,147.76,50.79,8.32,329,5g/13g,Low,Medium,1697,Low,Less intake today,11.41,Naan: 10.56 kg; Aloo Gobi: 12.55 kg; Dosa: 17.48 kg; Gulab Jamun: 73.80 kg; Naan: 226.00 kg
1989-05-01,Monday,Sunny,Dal Tadka,43.97,18.25,0.71,Naan,18.59,15.55,2.12,Roti,27.15,20.6,1.58,Dosa,15.96,11.24,1.72,Chole,76.67,81.98,6.83,Naan,456,0.28,2,Low,Medium,Dal Tadka,Dinner,180,0.23,103.89,97.01,77.22,0.49,323,19g/3g,High,Low,2829,Low,Large intake today,21.1,Naan: 15.55 kg; Roti: 20.60 kg; Dosa: 11.24 kg; Chole: 81.98 kg; Naan: 456.00 kg
1979-07-18,Friday,Cloudy,Dosa,25.42,10.43,1.62,Paratha,25.4,14.77,1.34,Kheer,10.36,16.02,1.03,Pav Bhaji,11.76,22.39,3.56,Chole,87.26,87.4,5.84,Kheer,344,0.42,2,Medium,Low,Dosa,Breakfast,431,0.31,87.83,103.51,73.67,2.59,109,12g/15g,High,Low,2712,Low,Perfect meal balance,5.15,Paratha: 14.77 kg; Kheer: 16.02 kg; Pav Bhaji: 22.39 kg; Chole: 87.40 kg; Kheer: 344.00 kg
2012-01-27,Saturday,Rainy,Jalebi,40.64,8.14,1.58,Paneer Butter Masala,22.78,18.36,2.97,Paneer Butter Masala,13.79,18.77,2.36,Idli,11.63,11.59,0.51,Paneer Butter Masala,69.44,86.54,9.87,Paratha,143,0.43,5,High,Medium,Jalebi,Lunch,107,0.26,93.28,84.83,129.45,6.46,389,19g/9g,Low,Low,1600,Medium,Less intake today,21.13,Paneer Butter Masala: 18.36 kg; Paneer Butter Masala: 18.77 kg; Idli: 11.59 kg; Paneer Butter Masala: 86.54 kg; Paratha: 143.00 kg
2007-08-02,Monday,Sunny,Aloo Gobi,10.44,42.76,4.03,Baingan Bharta,17.77,17.48,2.86,Naan,12.06,13.72,3.09,Paneer Butter Masala,17.86,14.64,4.16,Idli,57.13,69.08,4.74,Chole,373,0.32,4,Medium,Low,Baingan Bharta,Lunch,451,0.47,62.61,103.4,104.19,7.94,221,10g/4g,High,Low,1269,Low,Less intake today,17.39,Baingan Bharta: 17.48 kg; Naan: 13.72 kg; Paneer Butter Masala: 14.64 kg; Idli: 69.08 kg; Chole: 373.00 kg
2016-05-29,Saturday,Cloudy,Gulab Jamun,42.88,6.08,4.35,Roti,28.99,21.11,0.22,Dosa,12.12,16.5,2.69,Roti,11.13,17.28,3.13,Naan,91.93,88.37,7.24,Aloo Gobi,446,0.49,3,Medium,Low,Jalebi,Breakfast,388,0.39,87.15,63.99,133.74,4.37,205,10g/6g,Medium,Low,2259,Low,Large intake today,17.96,Roti: 21.11 kg; Dosa: 16.50 kg; Roti: 17.28 kg; Naan: 88.37 kg; Aloo Gobi: 446.00 kg
2024-04-19,Thursday,Rainy,Paratha,48.11,27.68,2.97,Pav Bhaji,22.69,13.14,0.98,Aloo Gobi,28.83,21.74,3.76,Dal Tadka,10.69,18.04,3.46,Roti,51.15,79.64,0.69,Aloo Gobi,152,0.38,3,Low,Medium,Aloo Gobi,Lunch,318,0.32,78.41,88.84,103.7,8.6,330,16g/6g,Low,High,1974,High,Less intake today,23.82,Pav Bhaji: 13.14 kg; Aloo Gobi: 21.74 kg; Dal Tadka: 18.04 kg; Roti: 79.64 kg; Aloo Gobi: 152.00 kg
2003-02-06,Tuesday,Rainy,Dosa,32.33,40.27,3.48,Naan,28.03,23.44,0.35,Gulab Jamun,19.65,21.23,4.93,Idli,14.38,12.15,2.59,Pav Bhaji,91.65,78.39,5.23,Dal Tadka,128,0.47,4,Low,Medium,Paratha,Dinner,274,0.5,77.28,84.74,49.58,1.23,261,15g/14g,High,Medium,1080,Medium,Large intake today,9.25,Naan: 23.44 kg; Gulab Jamun: 21.23 kg; Idli: 12.15 kg; Pav Bhaji: 78.39 kg; Dal Tadka: 128.00 kg
2018-08-26,Sunday,Rainy,Paratha,18.63,16.78,4.58,Chole,14.35,9.75,1.89,Aloo Gobi,28.17,15.6,4.21,Idli,21.89,13.24,2.57,Gulab Jamun,91.99,63.53,1.63,Roti,266,0.27,5,Low,Low,Dal Tadka,Breakfast,221,0.45,120.66,69.71,100.85,7.7,459,16g/14g,Low,Medium,2152,Low,Less intake today,24.81,Chole: 9.75 kg; Aloo Gobi: 15.60 kg; Idli: 13.24 kg; Gulab Jamun: 63.53 kg; Roti: 266.00 kg
1982-12-12,Thursday,Sunny,Paneer Butter Masala,44.72,21.41,0.02,Kheer,15.9,8.62,1.75,Aloo Gobi,26.8,14.54,0.25,Baingan Bharta,11.48,16.66,0.11,Dosa,66.17,43.37,6.63,Paratha,174,0.32,5,Low,Medium,Baingan Bharta,Dinner,127,0.31,64.61,61.02,116.57,8.42,195,9g/2g,Low,Low,1997,Low,Less intake today,24.07,Kheer: 8.62 kg; Aloo Gobi: 14.54 kg; Baingan Bharta: 16.66 kg; Dosa: 43.37 kg; Paratha: 174.00 kg
1987-11-21,Saturday,Rainy,Naan,38.35,40.74,1.59,Baingan Bharta,13.72,18.23,1.35,Rajma,21.31,15.79,4.87,Pav Bhaji,19.8,18.63,3.5,Aloo Gobi,73.58,80.8,4.48,Paratha,141,0.39,2,High,Low,Idli,Breakfast,386,0.42,55.98,62.24,98.32,8.49,296,12g/8g,High,Medium,2634,High,Large intake today,20.84,Baingan Bharta: 18.23 kg; Rajma: 15.79 kg; Pav Bhaji: 18.63 kg; Aloo Gobi: 80.80 kg; Paratha: 141.00 kg
2010-12-29,Sunday,Rainy,Jalebi,33.57,25.15,3.29,Paratha,11.25,20.97,3.87,Aloo Gobi,14.51,20.05,2.82,Roti,19.01,23.66,4.26,Dal Tadka,88.87,47.8,1.66,Gulab Jamun,424,0.28,5,High,High,Dosa,Dinner,368,0.28,67.01,125.2,114.35,2.31,254,7g/14g,Medium,Low,2277,High,Large intake today,7.46,Paratha: 20.97 kg; Aloo Gobi: 20.05 kg; Roti: 23.66 kg; Dal Tadka: 47.80 kg; Gulab Jamun: 424.00 kg
1977-09-01,Saturday,Rainy,Paneer Butter Masala,47.69,8.57,0.52,Dosa,29.98,9.43,0.95,Naan,23.56,21.91,1.46,Rajma,28.64,22.68,2.13,Gulab Jamun,83.58,57.26,1.66,Rajma,166,0.45,5,High,Low,Kheer,Lunch,498,0.46,115.52,51.61,107.22,7.72,457,10g/9g,Low,High,1179,Low,Large intake today,5.43,Dosa: 9.43 kg; Naan: 21.91 kg; Rajma: 22.68 kg; Gulab Jamun: 57.26 kg; Rajma: 166.00 kg
1973-03-05,Tuesday,Sunny,Paneer Butter Masala,42.46,27.99,0.9,Pav Bhaji,13.24,20.25,1.04,Naan,11.31,21.34,2.97,Pav Bhaji,22.95,18.66,2.43,Jalebi,65.09,81.78,1.92,Baingan Bharta,304,0.47,4,Low,Medium,Gulab Jamun,Lunch,123,0.45,74.55,91.31,134.07,1.15,333,9g/11g,Low,Low,2929,High,Less intake today,23.26,Pav Bhaji: 20.25 kg; Naan: 21.34 kg; Pav Bhaji: 18.66 kg; Jalebi: 81.78 kg; Baingan Bharta: 304.00 kg
1984-08-10,Tuesday,Sunny,Chole,17.78,26.65,3.84,Dosa,18.95,24.48,1.12,Rajma,20.5,9.85,4.74,Baingan Bharta,25.6,24.09,1.75,Chole,82.24,52.56,5.86,Roti,377,0.34,5,High,High,Dosa,Lunch,242,0.38,55.86,145.45,98.19,8.66,274,20g/4g,Low,Low,2930,Medium,Less intake today,8.45,Dosa: 24.48 kg; Rajma: 9.85 kg; Baingan Bharta: 24.09 kg; Chole: 52.56 kg; Roti: 377.00 kg
2014-04-02,Wednesday,Rainy,Paneer Butter Masala,14.5,25.81,4.02,Pav Bhaji,17.87,19.49,1.98,Dosa,19.76,13.27,4.1,Gulab Jamun,28.1,9.34,0.68,Baingan Bharta,99.87,77.89,0.44,Idli,212,0.33,3,Low,Medium,Aloo Gobi,Breakfast,400,0.29,145.03,72.26,129.11,2.06,158,19g/12g,Low,Medium,2481,High,Perfect meal balance,11.24,Pav Bhaji: 19.49 kg; Dosa: 13.27 kg; Gulab Jamun: 9.34 kg; Baingan Bharta: 77.89 kg; Idli: 212.00 kg
2006-09-15,Wednesday,Rainy,Rajma,12.23,17.47,3.53,Dosa,15.89,10.23,1.95,Paneer Butter Masala,13.68,24.92,0.47,Kheer,28.46,21.15,4.13,Dosa,85.74,42.42,1.69,Pav Bhaji,175,0.42,1,High,Medium,Pav Bhaji,Breakfast,146,0.37,81.41,116.92,90.44,7.51,401,11g/5g,Low,High,2486,Low,Less intake today,9.53,Dosa: 10.23 kg; Paneer Butter Masala: 24.92 kg; Kheer: 21.15 kg; Dosa: 42.42 kg; Pav Bhaji: 175.00 kg
1970-01-31,Thursday,Rainy,Roti,19.06,28.85,3.6,Gulab Jamun,28.87,18.75,4.8,Jalebi,10.19,13.13,1.87,Kheer,27.33,14.32,2.99,Dal Tadka,94.98,77.91,3.86,Paratha,152,0.21,4,Medium,Low,Idli,Dinner,290,0.44,128.09,126.33,139.48,0.62,169,12g/9g,High,High,1045,High,Perfect meal balance,6.18,Gulab Jamun: 18.75 kg; Jalebi: 13.13 kg; Kheer: 14.32 kg; Dal Tadka: 77.91 kg; Paratha: 152.00 kg
1995-09-23,Friday,Cloudy,Dosa,13.24,28.67,3.98,Baingan Bharta,13.04,9.3,1.67,Kheer,15.25,11.77,3.45,Jalebi,20.31,16.04,2.62,Dosa,76.15,53.17,2.55,Rajma,477,0.39,1,Low,High,Naan,Breakfast,385,0.48,145.4,86.85,78.71,2.8,176,6g/7g,Medium,Low,2773,Low,Perfect meal balance,9.81,Baingan Bharta: 9.30 kg; Kheer: 11.77 kg; Jalebi: 16.04 kg; Dosa: 53.17 kg; Rajma: 477.00 kg
1971-07-14,Tuesday,Rainy,Kheer,31.48,5.11,2.04,Aloo Gobi,15.54,8.51,2.44,Naan,13.74,10.89,4.09,Dosa,20.65,24.64,4.32,Paratha,85.78,50.12,4.43,Naan,321,0.35,3,Medium,Medium,Naan,Lunch,404,0.38,70.94,123.95,120.3,4.55,116,19g/6g,Medium,High,1699,High,Perfect meal balance,7.99,Aloo Gobi: 8.51 kg; Naan: 10.89 kg; Dosa: 24.64 kg; Paratha: 50.12 kg; Naan: 321.00 kg
1977-06-14,Wednesday,Rainy,Kheer,10.75,31.64,1.11,Rajma,15.76,23.32,0.42,Baingan Bharta,23.44,13.79,3.24,Baingan Bharta,25.01,19.32,3.01,Chole,55.42,50.13,3.42,Chole,179,0.3,1,Medium,Medium,Idli,Dinner,384,0.23,114.36,121.77,55.25,6.7,191,9g/5g,High,High,2526,Low,Less intake today,10.85,Rajma: 23.32 kg; Baingan Bharta: 13.79 kg; Baingan Bharta: 19.32 kg; Chole: 50.13 kg; Chole: 179.00 kg
2017-03-02,Monday,Rainy,Roti,42.6,37.24,3.51,Chole,19.41,19.09,3.14,Roti,10.91,10.34,0.06,Baingan Bharta,24.98,11.61,4.87,Baingan Bharta,56.75,87.7,3.54,Rajma,410,0.32,3,High,Medium,Baingan Bharta,Dinner,413,0.33,141.87,50.41,40.99,6.76,230,20g/10g,High,High,1750,High,Perfect meal balance,18.22,Chole: 19.09 kg; Roti: 10.34 kg; Baingan Bharta: 11.61 kg; Baingan Bharta: 87.70 kg; Rajma: 410.00 kg
2018-10-26,Sunday,Cloudy,Rajma,26.61,25.38,2.64,Dosa,19.74,18.41,3.37,Naan,28.03,16.7,1.06,Gulab Jamun,17.51,17.6,0.18,Roti,63.67,66.96,5.37,Dosa,388,0.39,1,Medium,High,Idli,Breakfast,168,0.27,148.28,92.14,70.71,0.59,394,18g/6g,Low,Low,1749,Medium,Large intake today,22.14,Dosa: 18.41 kg; Naan: 16.70 kg; Gulab Jamun: 17.60 kg; Roti: 66.96 kg; Dosa: 388.00 kg
1972-03-24,Saturday,Cloudy,Rajma,17.19,40.64,4.67,Pav Bhaji,13.19,14.58,4.83,Rajma,19.44,13.98,3.02,Jalebi,12.44,10.64,3.24,Pav Bhaji,69.46,85.71,9.94,Kheer,284,0.34,3,High,Low,Paratha,Dinner,489,0.28,110.23,52.16,92.97,9.51,488,5g/10g,Low,High,2770,Medium,Perfect meal balance,10.13,Pav Bhaji: 14.58 kg; Rajma: 13.98 kg; Jalebi: 10.64 kg; Pav Bhaji: 85.71 kg; Kheer: 284.00 kg
2004-05-16,Monday,Cloudy,Baingan Bharta,16.04,32.65,3.47,Roti,14.38,11.37,3.88,Roti,12.1,20.14,4.97,Baingan Bharta,11.23,22.85,0.06,Dal Tadka,57.74,76.51,1.62,Idli,254,0.34,5,Low,High,Dal Tadka,Dinner,422,0.2,149.06,121.28,48.75,0.02,121,17g/14g,Medium,High,2436,Low,Less intake today,11.19,Roti: 11.37 kg; Roti: 20.14 kg; Baingan Bharta: 22.85 kg; Dal Tadka: 76.51 kg; Idli: 254.00 kg
1993-08-25,Thursday,Rainy,Chole,41.1,38.17,2.56,Paneer Butter Masala,16.88,20.74,0.01,Jalebi,15.13,9.06,4.43,Baingan Bharta,23.97,13.99,3.16,Pav Bhaji,94.51,47.65,6.09,Kheer,102,0.39,4,Medium,Medium,Paratha,Breakfast,309,0.27,50.47,112.8,128.68,0.74,225,12g/11g,High,High,1073,Medium,Less intake today,5.19,Paneer Butter Masala: 20.74 kg; Jalebi: 9.06 kg; Baingan Bharta: 13.99 kg; Pav Bhaji: 47.65 kg; Kheer: 102.00 kg
1976-08-06,Thursday,Cloudy,Dal Tadka,32.02,20.04,4.85,Pav Bhaji,21.6,22.9,4.03,Dosa,29.59,18.05,0.45,Pav Bhaji,28.61,14.17,4.98,Pav Bhaji,57.35,70.56,7.11,Dosa,211,0.36,5,Low,High,Kheer,Dinner,257,0.38,66.14,137.51,94.02,8.95,497,13g/7g,High,Low,2602,Low,Less intake today,5.44,Pav Bhaji: 22.90 kg; Dosa: 18.05 kg; Pav Bhaji: 14.17 kg; Pav Bhaji: 70.56 kg; Dosa: 211.00 kg
2000-08-12,Tuesday,Rainy,Kheer,49.95,44.33,4.55,Idli,10.41,15.83,3.17,Paneer Butter Masala,19.87,20.56,2.68,Paneer Butter Masala,15.81,13.74,0.52,Rajma,74.44,62.14,1.42,Rajma,109,0.27,1,Low,Medium,Jalebi,Lunch,401,0.38,78.78,117.1,53.86,3.23,441,13g/3g,Medium,High,1327,Low,Less intake today,24.2,Idli: 15.83 kg; Paneer Butter Masala: 20.56 kg; Paneer Butter Masala: 13.74 kg; Rajma: 62.14 kg; Rajma: 109.00 kg
1970-04-10,Wednesday,Rainy,Rajma,26.22,10.93,3.92,Kheer,15.31,17.19,4.84,Aloo Gobi,28.93,13.77,2.4,Aloo Gobi,23.71,18.29,3.07,Rajma,55.45,67.91,9.24,Roti,338,0.25,4,High,Medium,Idli,Dinner,379,0.23,136.86,89.18,45.66,0.88,468,6g/4g,High,Medium,2262,Medium,Perfect meal balance,23.78,Kheer: 17.19 kg; Aloo Gobi: 13.77 kg; Aloo Gobi: 18.29 kg; Rajma: 67.91 kg; Roti: 338.00 kg
2000-01-27,Thursday,Sunny,Naan,40.37,25.46,4.85,Pav Bhaji,10.04,14.96,1.5,Pav Bhaji,23.17,18.12,0.4,Gulab Jamun,12.4,14.68,0.49,Gulab Jamun,73.6,75.65,5.66,Jalebi,185,0.23,1,High,High,Jalebi,Lunch,202,0.41,60.14,143.31,65.17,9.38,472,15g/2g,Medium,Low,1673,High,Less intake today,17.67,Pav Bhaji: 14.96 kg; Pav Bhaji: 18.12 kg; Gulab Jamun: 14.68 kg; Gulab Jamun: 75.65 kg; Jalebi: 185.00 kg
2006-12-21,Sunday,Rainy,Dal Tadka,26.39,20.94,0.61,Kheer,14.99,15.84,2.38,Aloo Gobi,11.09,13.96,3.02,Dal Tadka,19.31,13.48,2.32,Idli,65.36,81.9,0.17,Kheer,264,0.25,5,High,Medium,Chole,Breakfast,194,0.49,127.76,53.49,76.97,7.46,263,14g/2g,High,Low,1348,High,Large intake today,7.65,Kheer: 15.84 kg; Aloo Gobi: 13.96 kg; Dal Tadka: 13.48 kg; Idli: 81.90 kg; Kheer: 264.00 kg
2017-11-07,Wednesday,Cloudy,Dosa,39.63,37.41,3.37,Dal Tadka,28.57,11.78,1.97,Naan,17.34,10.17,2.06,Pav Bhaji,17.51,19.09,3.15,Naan,73.54,83.7,5.5,Jalebi,116,0.35,2,Medium,High,Rajma,Dinner,336,0.38,145.98,84.38,103.26,6.45,139,13g/6g,Low,High,1714,Low,Less intake today,6.01,Dal Tadka: 11.78 kg; Naan: 10.17 kg; Pav Bhaji: 19.09 kg; Naan: 83.70 kg; Jalebi: 116.00 kg
2003-01-23,Monday,Cloudy,Chole,20.88,6.09,4.55,Naan,22.59,14.24,2.34,Idli,14.05,20.22,0.87,Idli,24.65,22.48,3.7,Paneer Butter Masala,96.68,50.53,6.94,Kheer,106,0.28,4,High,High,Pav Bhaji,Dinner,245,0.27,51.92,96.33,131.31,4.34,256,18g/11g,High,Low,2341,Medium,Large intake today,20.28,Naan: 14.24 kg; Idli: 20.22 kg; Idli: 22.48 kg; Paneer Butter Masala: 50.53 kg; Kheer: 106.00 kg
2000-11-25,Monday,Cloudy,Kheer,27.81,24.88,4.84,Chole,14.96,11.37,4.65,Baingan Bharta,15.22,20.06,2.26,Pav Bhaji,21.14,13.9,2.33,Paneer Butter Masala,57.19,60.28,0.3,Chole,426,0.29,1,Low,Low,Paratha,Lunch,226,0.26,96.8,61.16,102.77,6.34,378,5g/10g,High,Low,1013,High,Perfect meal balance,20.35,Chole: 11.37 kg; Baingan Bharta: 20.06 kg; Pav Bhaji: 13.90 kg; Paneer Butter Masala: 60.28 kg; Chole: 426.00 kg
1991-06-28,Wednesday,Rainy,Baingan Bharta,22.51,16.33,3.15,Aloo Gobi,28.97,18.23,4.37,Paratha,19.5,24.42,3.84,Kheer,10.08,20.53,3.45,Gulab Jamun,82.56,45.49,7.39,Chole,464,0.35,2,Medium,Low,Idli,Breakfast,161,0.22,51.95,126.6,109.72,2.37,447,15g/10g,High,High,1353,High,Less intake today,19.69,Aloo Gobi: 18.23 kg; Paratha: 24.42 kg; Kheer: 20.53 kg; Gulab Jamun: 45.49 kg; Chole: 464.00 kg
1977-09-23,Sunday,Sunny,Gulab Jamun,31.32,13.48,1.16,Pav Bhaji,21.4,23.76,0.63,Naan,15.68,18.21,0.18,Naan,17.34,11.92,1.55,Baingan Bharta,54.21,59.65,2.74,Naan,212,0.23,4,High,Medium,Kheer,Dinner,259,0.24,138.49,99.11,93.5,7.98,427,6g/11g,High,High,2920,Low,Large intake today,6.36,Pav Bhaji: 23.76 kg; Naan: 18.21 kg; Naan: 11.92 kg; Baingan Bharta: 59.65 kg; Naan: 212.00 kg
1984-11-18,Monday,Rainy,Dal Tadka,29.85,13.54,1.81,Paratha,24.82,17.74,2.61,Paneer Butter Masala,21.79,12.12,0.61,Kheer,22.36,18.93,3.3,Paratha,75.66,75.06,6.55,Naan,118,0.47,2,Medium,Medium,Dal Tadka,Lunch,142,0.35,141.8,105.89,70.77,0.92,446,8g/8g,Low,Medium,1698,Medium,Less intake today,24.87,Paratha: 17.74 kg; Paneer Butter Masala: 12.12 kg; Kheer: 18.93 kg; Paratha: 75.06 kg; Naan: 118.00 kg
2007-06-24,Tuesday,Cloudy,Pav Bhaji,27.29,23.89,4.97,Paratha,18.0,13.85,1.45,Jalebi,26.01,21.25,3.31,Dal Tadka,22.66,10.91,3.0,Roti,85.91,74.67,3.53,Dosa,440,0.28,1,High,Medium,Roti,Dinner,437,0.26,117.55,83.25,112.52,4.94,248,12g/14g,Low,High,1831,Low,Large intake today,18.58,Paratha: 13.85 kg; Jalebi: 21.25 kg; Dal Tadka: 10.91 kg; Roti: 74.67 kg; Dosa: 440.00 kg
2009-06-15,Saturday,Sunny,Pav Bhaji,49.05,8.84,1.99,Paratha,14.23,17.9,4.71,Dosa,27.99,20.04,2.5,Jalebi,23.56,19.39,4.76,Baingan Bharta,95.63,82.36,2.54,Naan,148,0.46,4,Medium,Low,Kheer,Breakfast,173,0.22,70.28,148.25,113.94,0.77,408,12g/4g,Medium,Medium,2404,High,Perfect meal balance,6.2,Paratha: 17.90 kg; Dosa: 20.04 kg; Jalebi: 19.39 kg; Baingan Bharta: 82.36 kg; Naan: 148.00 kg
2020-06-29,Wednesday,Cloudy,Roti,17.92,10.7,2.71,Jalebi,18.99,12.69,0.24,Gulab Jamun,25.19,12.56,1.31,Idli,12.28,10.43,2.94,Idli,81.06,78.12,6.56,Gulab Jamun,224,0.37,5,Low,Low,Gulab Jamun,Dinner,118,0.29,67.82,59.04,68.63,0.03,104,12g/7g,Low,High,2823,Low,Large intake today,9.03,Jalebi: 12.69 kg; Gulab Jamun: 12.56 kg; Idli: 10.43 kg; Idli: 78.12 kg; Gulab Jamun: 224.00 kg
1971-12-30,Wednesday,Cloudy,Dal Tadka,35.88,17.36,4.18,Dal Tadka,28.08,9.09,2.23,Aloo Gobi,26.34,23.06,3.98,Kheer,10.92,19.53,2.42,Rajma,88.27,83.08,8.66,Chole,209,0.37,1,High,Medium,Jalebi,Lunch,481,0.41,130.63,119.24,42.99,9.16,475,18g/8g,Low,High,1257,Medium,Less intake today,9.73,Dal Tadka: 9.09 kg; Aloo Gobi: 23.06 kg; Kheer: 19.53 kg; Rajma: 83.08 kg; Chole: 209.00 kg
1998-04-25,Saturday,Cloudy,Paratha,46.42,5.25,2.47,Dosa,13.47,14.08,4.32,Paneer Butter Masala,26.9,22.63,4.73,Chole,14.02,24.98,2.08,Kheer,92.74,49.28,8.5,Roti,198,0.45,1,Medium,Medium,Jalebi,Breakfast,217,0.49,97.05,92.46,75.53,2.28,475,17g/6g,Medium,Low,2130,High,Perfect meal balance,11.87,Dosa: 14.08 kg; Paneer Butter Masala: 22.63 kg; Chole: 24.98 kg; Kheer: 49.28 kg; Roti: 198.00 kg
1978-07-07,Thursday,Sunny,Aloo Gobi,29.72,36.27,3.82,Roti,25.86,21.03,4.99,Paneer Butter Masala,11.65,15.59,3.94,Paneer Butter Masala,21.37,22.76,2.54,Baingan Bharta,97.98,80.73,0.85,Kheer,393,0.38,2,Medium,Low,Kheer,Dinner,205,0.24,70.56,93.71,103.22,7.92,167,15g/3g,Low,High,1226,High,Perfect meal balance,13.39,Roti: 21.03 kg; Paneer Butter Masala: 15.59 kg; Paneer Butter Masala: 22.76 kg; Baingan Bharta: 80.73 kg; Kheer: 393.00 kg
2012-06-21,Monday,Cloudy,Roti,15.59,21.95,0.77,Idli,26.52,8.31,3.67,Jalebi,16.54,9.74,2.3,Jalebi,26.55,20.65,0.77,Roti,54.97,68.35,6.1,Chole,128,0.4,1,Medium,Medium,Rajma,Breakfast,275,0.31,113.54,115.84,45.31,7.54,312,15g/14g,Low,Medium,1621,Low,Perfect meal balance,21.79,Idli: 8.31 kg; Jalebi: 9.74 kg; Jalebi: 20.65 kg; Roti: 68.35 kg; Chole: 128.00 kg
2015-02-15,Wednesday,Rainy,Dosa,37.02,26.67,2.12,Jalebi,24.62,23.08,3.56,Chole,24.88,15.38,4.62,Paratha,14.72,16.3,3.09,Paratha,53.37,81.05,5.96,Aloo Gobi,448,0.36,3,Low,Medium,Gulab Jamun,Lunch,338,0.42,76.45,142.29,79.15,4.15,255,19g/9g,High,High,2605,Medium,Perfect meal balance,7.06,Jalebi: 23.08 kg; Chole: 15.38 kg; Paratha: 16.30 kg; Paratha: 81.05 kg; Aloo Gobi: 448.00 kg
1986-06-01,Sunday,Cloudy,Pav Bhaji,49.02,21.28,1.6,Aloo Gobi,11.27,15.66,0.54,Paneer Butter Masala,17.78,18.07,3.95,Paratha,26.7,12.76,4.6,Kheer,76.47,45.73,3.42,Roti,312,0.21,2,Medium,High,Naan,Dinner,477,0.48,147.95,77.23,115.79,7.12,379,8g/13g,High,Low,1161,Medium,Large intake today,23.36,Aloo Gobi: 15.66 kg; Paneer Butter Masala: 18.07 kg; Paratha: 12.76 kg; Kheer: 45.73 kg; Roti: 312.00 kg
1999-11-30,Sunday,Rainy,Roti,16.83,29.63,3.44,Naan,16.03,15.58,1.03,Dal Tadka,23.33,17.05,4.29,Gulab Jamun,15.45,8.78,0.37,Jalebi,70.6,69.03,9.69,Dal Tadka,353,0.22,3,Medium,Medium,Chole,Breakfast,102,0.22,138.77,83.63,40.37,2.36,438,5g/8g,Low,Medium,1197,Medium,Large intake today,15.01,Naan: 15.58 kg; Dal Tadka: 17.05 kg; Gulab Jamun: 8.78 kg; Jalebi: 69.03 kg; Dal Tadka: 353.00 kg
1995-02-18,Wednesday,Sunny,Paneer Butter Masala,12.46,30.62,0.02,Chole,23.0,14.4,0.58,Aloo Gobi,10.87,9.56,3.84,Baingan Bharta,12.66,22.42,3.38,Kheer,62.36,48.46,8.56,Gulab Jamun,166,0.32,2,Low,Low,Dosa,Breakfast,428,0.34,58.05,136.8,124.88,8.12,451,6g/11g,High,Medium,2724,Low,Less intake today,12.07,Chole: 14.40 kg; Aloo Gobi: 9.56 kg; Baingan Bharta: 22.42 kg; Kheer: 48.46 kg; Gulab Jamun: 166.00 kg
2013-03-30,Sunday,Rainy,Dosa,46.43,28.79,0.79,Aloo Gobi,29.85,16.62,4.6,Rajma,13.87,14.26,2.11,Dal Tadka,12.49,14.25,1.79,Naan,74.64,40.13,2.98,Roti,403,0.28,1,Medium,Medium,Baingan Bharta,Breakfast,364,0.21,90.87,135.08,126.48,4.37,318,20g/11g,Low,Medium,1525,High,Perfect meal balance,16.21,Aloo Gobi: 16.62 kg; Rajma: 14.26 kg; Dal Tadka: 14.25 kg; Naan: 40.13 kg; Roti: 403.00 kg
