Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Staples2,Staples2_Quantity_Made (kg),Staples2_Quantity_Consumed (kg),Staples2_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
2019-05-20,Monday,Cloudy,Poha,44.13,26.04,3.19,Paneer Butter Masala,28.86,9.22,4.2,Dum Aloo,26.87,13.26,3.12,Rice,73.6,62.54,0.0,Roti,51.47,79.95,9.97,Halwa,246,0.28,5,High,High,Puri Bhaji,Dinner,488,0.35,71.73,134.95,75.35,0.57,366,10g/9g,Low,High,2277,Low,Less intake today,10.55,Paneer Butter Masala: 9.22 kg; Dum Aloo: 13.26 kg; Rice: 62.54 kg; Halwa: Halwa kg
1976-04-13,Wednesday,Cloudy,Poha,39.8,18.83,0.01,Paneer Butter Masala,22.25,24.11,0.92,Chana Masala,24.43,24.38,4.95,Rice,69.13,77.55,6.42,Naan,56.1,50.43,5.68,Kheer,320,0.49,1,Medium,High,Upma,Breakfast,401,0.32,92.84,147.76,96.99,1.12,372,13g/12g,High,High,2893,High,Perfect meal balance,13.71,Paneer Butter Masala: 24.11 kg; Chana Masala: 24.38 kg; Rice: 77.55 kg; Kheer: Kheer kg
1976-09-21,Friday,Rainy,Upma,44.75,15.79,3.92,Bhindi Fry,21.22,22.8,1.81,Paneer Butter Masala,10.52,12.58,2.9,Roti,53.01,75.43,9.84,Naan,73.56,57.65,6.88,Gulab Jamun,100,0.25,2,Medium,High,Aloo Gobi,Dinner,178,0.37,50.1,89.51,112.5,1.21,238,11g/5g,High,Medium,1665,High,Large intake today,13.48,Bhindi Fry: 22.8 kg; Paneer Butter Masala: 12.58 kg; Roti: 75.43 kg; Gulab Jamun: Gulab Jamun kg
2006-08-23,Sunday,Rainy,Pav Bhaji,15.54,14.26,3.44,Aloo Gobi,15.15,17.92,4.33,Kadhi Pakora,29.0,8.98,4.12,Rice,82.3,56.84,6.26,Naan,83.61,71.01,3.08,Jalebi,437,0.38,4,High,High,Paneer Butter Masala,Lunch,476,0.43,94.72,64.7,130.12,2.89,347,5g/4g,Low,High,1010,Medium,Less intake today,15.47,Aloo Gobi: 17.92 kg; Kadhi Pakora: 8.98 kg; Rice: 56.84 kg; Jalebi: Jalebi kg
2011-09-20,Monday,Sunny,Puri Bhaji,38.25,10.24,3.06,Bhindi Fry,27.8,24.14,2.27,Gobi Manchurian,22.66,23.03,1.56,Roti,94.67,60.94,0.46,Paratha,86.69,56.94,1.81,Jalebi,284,0.43,4,Low,High,Chole,Breakfast,347,0.46,97.34,146.96,107.61,2.42,266,10g/12g,Medium,Medium,2391,High,Perfect meal balance,23.38,Bhindi Fry: 24.14 kg; Gobi Manchurian: 23.03 kg; Roti: 60.94 kg; Jalebi: Jalebi kg
1985-07-13,Wednesday,Cloudy,Puri Bhaji,27.19,13.34,2.32,Butter Chicken,15.9,16.41,3.28,Bhindi Fry,10.13,14.66,1.51,Paratha,89.21,80.43,2.35,Roti,87.65,43.47,3.47,Gulab Jamun,463,0.42,1,High,Low,Pav Bhaji,Dinner,293,0.39,55.91,89.88,127.0,5.35,190,18g/13g,High,Medium,2384,Medium,Perfect meal balance,11.92,Butter Chicken: 16.41 kg; Bhindi Fry: 14.66 kg; Paratha: 80.43 kg; Gulab Jamun: Gulab Jamun kg
2009-08-06,Wednesday,Cloudy,Dosa,22.99,25.11,3.71,Dal Tadka,22.74,16.98,3.19,Chana Masala,22.83,11.42,4.09,Rice,75.3,85.2,2.86,Paratha,93.39,44.72,7.94,Gulab Jamun,422,0.32,2,Low,Medium,Gobi Manchurian,Dinner,440,0.29,51.49,58.37,59.14,2.55,158,18g/2g,Low,High,1490,Low,Less intake today,5.08,Dal Tadka: 16.98 kg; Chana Masala: 11.42 kg; Rice: 85.2 kg; Gulab Jamun: Gulab Jamun kg
1999-12-27,Thursday,Rainy,Pav Bhaji,47.77,23.4,1.27,Bhindi Fry,28.55,8.09,1.47,Gobi Manchurian,23.9,21.31,4.97,Paratha,70.19,72.17,1.44,Naan,77.83,88.89,1.12,Gulab Jamun,293,0.43,3,High,Low,Pulao,Dinner,288,0.33,131.45,99.65,109.72,6.25,450,9g/3g,Low,Medium,1737,Low,Perfect meal balance,13.12,Bhindi Fry: 8.09 kg; Gobi Manchurian: 21.31 kg; Paratha: 72.17 kg; Gulab Jamun: Gulab Jamun kg
2011-05-19,Thursday,Sunny,Puri Bhaji,36.98,31.57,1.4,Methi Thepla,28.62,20.96,4.76,Chole,17.5,23.63,2.18,Rice,70.77,67.7,7.39,Roti,80.86,56.38,7.05,Halwa,494,0.27,2,High,High,Kadhi Pakora,Dinner,294,0.44,134.69,50.16,62.69,7.41,267,17g/3g,High,Low,2692,Low,Perfect meal balance,7.99,Methi Thepla: 20.96 kg; Chole: 23.63 kg; Rice: 67.7 kg; Halwa: Halwa kg
1975-12-09,Wednesday,Rainy,Poha,13.17,31.87,0.68,Aloo Gobi,16.76,17.84,2.69,Dal Tadka,19.1,14.6,4.81,Roti,72.5,84.9,7.77,Paratha,75.45,41.7,4.43,Gulab Jamun,405,0.47,5,Low,Low,Rajma,Dinner,255,0.36,61.4,102.95,81.39,7.69,177,16g/15g,Medium,High,1757,Medium,Large intake today,14.44,Aloo Gobi: 17.84 kg; Dal Tadka: 14.6 kg; Roti: 84.9 kg; Gulab Jamun: Gulab Jamun kg
2009-11-24,Wednesday,Cloudy,Poha,16.53,10.26,4.4,Bhindi Fry,14.06,23.69,2.28,Pulao,12.82,9.14,2.11,Paratha,88.85,48.38,5.75,Roti,58.46,74.05,9.22,Halwa,378,0.3,5,Medium,High,Puri Bhaji,Dinner,421,0.41,128.21,110.07,117.09,4.38,477,12g/10g,Low,Low,2113,Low,Perfect meal balance,10.01,Bhindi Fry: 23.69 kg; Pulao: 9.14 kg; Paratha: 48.38 kg; Halwa: Halwa kg
2017-10-09,Saturday,Rainy,Dosa,20.75,25.27,1.39,Rajma,25.51,11.64,4.84,Dum Aloo,21.46,9.88,1.21,Naan,51.18,63.63,1.52,Rice,85.76,64.92,7.33,Kheer,374,0.48,2,Medium,High,Methi Thepla,Lunch,356,0.24,101.75,52.1,97.84,0.38,321,9g/9g,Low,High,1381,Medium,Less intake today,21.04,Rajma: 11.64 kg; Dum Aloo: 9.88 kg; Naan: 63.63 kg; Kheer: Kheer kg
2019-06-27,Sunday,Rainy,Poha,35.25,42.34,3.09,Rajma,22.14,22.04,2.03,Gobi Manchurian,14.56,13.8,1.26,Roti,74.44,64.64,0.25,Naan,83.99,69.29,7.09,Jalebi,346,0.24,2,Medium,Low,Aloo Gobi,Dinner,498,0.21,125.13,110.09,45.9,3.85,168,10g/11g,Low,Low,2339,High,Less intake today,13.56,Rajma: 22.04 kg; Gobi Manchurian: 13.8 kg; Roti: 64.64 kg; Jalebi: Jalebi kg
1970-07-03,Sunday,Sunny,Dosa,30.77,38.18,3.44,Chole,15.0,18.25,1.35,Dum Aloo,10.24,12.59,3.39,Rice,88.46,63.73,5.06,Paratha,92.74,58.2,7.29,Gulab Jamun,196,0.34,2,Low,Low,Pav Bhaji,Lunch,113,0.29,85.13,90.07,134.7,0.22,332,13g/7g,Low,Low,2911,Medium,Perfect meal balance,12.93,Chole: 18.25 kg; Dum Aloo: 12.59 kg; Rice: 63.73 kg; Gulab Jamun: Gulab Jamun kg
2014-01-15,Thursday,Rainy,Dosa,38.47,31.12,3.19,Rajma,17.95,24.56,0.12,Chole,12.15,18.11,3.58,Naan,90.95,73.88,9.6,Rice,96.48,86.16,3.81,Jalebi,193,0.34,1,Low,Medium,Chana Masala,Dinner,222,0.4,96.85,114.51,60.4,2.32,206,20g/8g,High,Low,2010,Medium,Large intake today,9.21,Rajma: 24.56 kg; Chole: 18.11 kg; Naan: 73.88 kg; Jalebi: Jalebi kg
1978-04-27,Monday,Sunny,Dosa,12.19,24.87,1.62,Dal Tadka,22.66,19.68,2.02,Chole,13.39,22.65,3.64,Naan,75.91,85.65,7.84,Paratha,88.91,61.13,0.82,Halwa,246,0.45,3,Low,Medium,Methi Thepla,Breakfast,270,0.2,145.16,77.88,115.21,5.13,126,10g/4g,High,Medium,1266,Medium,Large intake today,9.47,Dal Tadka: 19.68 kg; Chole: 22.65 kg; Naan: 85.65 kg; Halwa: Halwa kg
2023-02-08,Tuesday,Cloudy,Idli,12.15,7.32,3.75,Methi Thepla,29.65,10.27,2.11,Paneer Butter Masala,23.34,9.54,3.76,Paratha,58.6,47.9,0.13,Roti,60.76,85.51,3.76,Jalebi,164,0.32,2,High,Low,Kadhi Pakora,Dinner,111,0.45,120.44,105.93,84.02,0.68,452,13g/6g,High,High,2715,High,Less intake today,11.0,Methi Thepla: 10.27 kg; Paneer Butter Masala: 9.54 kg; Paratha: 47.9 kg; Jalebi: Jalebi kg
1994-01-03,Friday,Cloudy,Upma,13.14,24.88,2.87,Bhindi Fry,10.52,16.1,3.59,Aloo Gobi,16.2,22.74,2.92,Rice,85.17,84.08,8.45,Paratha,79.46,65.53,4.72,Halwa,341,0.4,5,High,High,Kadai Paneer,Lunch,148,0.44,71.25,83.99,53.5,1.02,108,5g/12g,Low,High,2830,Medium,Less intake today,14.75,Bhindi Fry: 16.1 kg; Aloo Gobi: 22.74 kg; Rice: 84.08 kg; Halwa: Halwa kg
1983-12-14,Wednesday,Sunny,Dosa,34.63,29.51,1.32,Methi Thepla,24.92,9.5,2.21,Dal Tadka,12.47,8.33,2.61,Rice,53.24,52.43,6.82,Paratha,88.42,66.83,8.32,Jalebi,182,0.45,4,Medium,High,Methi Thepla,Breakfast,195,0.49,54.96,97.52,72.77,4.55,444,19g/12g,Medium,High,1655,Low,Less intake today,9.52,Methi Thepla: 9.5 kg; Dal Tadka: 8.33 kg; Rice: 52.43 kg; Jalebi: Jalebi kg
1980-11-19,Saturday,Cloudy,Poha,43.08,31.43,2.6,Aloo Paratha,18.04,10.46,3.95,Baingan Bharta,28.57,23.26,1.61,Roti,72.55,86.44,4.68,Rice,65.39,81.63,6.41,Halwa,167,0.32,1,Low,Medium,Dosa,Dinner,234,0.26,137.62,117.99,124.48,5.54,169,13g/2g,High,High,2928,High,Perfect meal balance,18.61,Aloo Paratha: 10.46 kg; Baingan Bharta: 23.26 kg; Roti: 86.44 kg; Halwa: Halwa kg
1985-06-07,Wednesday,Sunny,Puri Bhaji,40.85,39.88,1.66,Palak Paneer,25.7,16.96,2.15,Dum Aloo,11.11,8.58,4.55,Roti,84.49,54.5,9.93,Naan,77.65,80.45,2.29,Jalebi,111,0.45,2,High,Medium,Upma,Lunch,317,0.45,69.01,136.71,77.48,1.33,312,12g/11g,Medium,High,1539,High,Perfect meal balance,22.18,Palak Paneer: 16.96 kg; Dum Aloo: 8.58 kg; Roti: 54.5 kg; Jalebi: Jalebi kg
1995-03-05,Thursday,Sunny,Puri Bhaji,11.4,27.39,1.8,Butter Chicken,27.28,21.9,2.62,Chana Masala,26.44,16.94,2.26,Naan,52.49,53.93,9.27,Roti,86.83,43.48,1.73,Jalebi,342,0.27,4,Low,Medium,Rajma,Dinner,382,0.35,110.17,146.73,100.89,5.37,332,14g/2g,Low,High,1308,Medium,Less intake today,7.26,Butter Chicken: 21.9 kg; Chana Masala: 16.94 kg; Naan: 53.93 kg; Jalebi: Jalebi kg
2007-06-12,Saturday,Cloudy,Dosa,35.52,15.44,1.17,Aloo Paratha,16.4,13.89,1.15,Baingan Bharta,21.76,15.05,1.2,Paratha,81.03,45.41,6.56,Rice,66.63,41.0,0.51,Jalebi,408,0.34,4,High,Low,Puri Bhaji,Lunch,362,0.21,53.21,128.89,104.75,0.83,102,10g/8g,Medium,High,1110,Medium,Perfect meal balance,24.85,Aloo Paratha: 13.89 kg; Baingan Bharta: 15.05 kg; Paratha: 45.41 kg; Jalebi: Jalebi kg
2000-02-07,Sunday,Sunny,Idli,28.0,42.8,2.51,Aloo Paratha,17.52,16.65,2.63,Bhindi Fry,10.43,11.51,1.76,Rice,83.72,68.56,5.65,Roti,78.94,87.81,8.45,Gulab Jamun,173,0.26,4,High,Medium,Gobi Manchurian,Lunch,245,0.22,130.8,74.5,129.95,2.73,208,6g/9g,Low,High,1159,High,Large intake today,21.63,Aloo Paratha: 16.65 kg; Bhindi Fry: 11.51 kg; Rice: 68.56 kg; Gulab Jamun: Gulab Jamun kg
2024-07-03,Thursday,Rainy,Pav Bhaji,47.72,40.28,0.19,Aloo Gobi,20.81,8.58,4.5,Pulao,13.43,8.82,4.32,Roti,63.38,65.84,2.05,Rice,85.52,61.04,7.86,Kheer,238,0.31,1,Low,High,Chole,Dinner,411,0.35,62.04,51.91,72.12,3.03,219,8g/5g,High,Medium,1769,High,Perfect meal balance,24.05,Aloo Gobi: 8.58 kg; Pulao: 8.82 kg; Roti: 65.84 kg; Kheer: Kheer kg
1984-07-16,Monday,Sunny,Dosa,15.84,6.03,2.62,Dal Tadka,19.31,9.0,2.8,Paneer Butter Masala,20.06,20.42,0.12,Naan,96.18,74.93,1.31,Roti,95.68,83.68,7.89,Halwa,498,0.25,2,Medium,Low,Dosa,Breakfast,181,0.46,55.28,62.96,100.99,6.36,158,16g/15g,High,High,2081,High,Less intake today,21.94,Dal Tadka: 9.0 kg; Paneer Butter Masala: 20.42 kg; Naan: 74.93 kg; Halwa: Halwa kg
1993-01-22,Friday,Sunny,Upma,26.96,17.72,4.33,Methi Thepla,17.49,24.77,3.35,Pulao,19.59,21.64,0.23,Paratha,66.78,50.87,8.7,Naan,76.38,80.18,5.2,Kheer,185,0.31,1,High,Medium,Gobi Manchurian,Lunch,429,0.3,141.31,113.55,41.79,9.83,240,20g/14g,Low,High,1880,Low,Large intake today,6.75,Methi Thepla: 24.77 kg; Pulao: 21.64 kg; Paratha: 50.87 kg; Kheer: Kheer kg
1971-10-06,Thursday,Cloudy,Puri Bhaji,31.93,22.68,2.99,Chole,29.69,10.82,3.07,Dal Tadka,19.26,23.7,3.27,Naan,81.62,61.66,3.38,Roti,52.87,88.51,9.47,Jalebi,179,0.3,2,Medium,Low,Pav Bhaji,Lunch,405,0.43,118.31,115.23,58.59,9.17,482,16g/3g,Low,Low,2916,High,Perfect meal balance,5.41,Chole: 10.82 kg; Dal Tadka: 23.7 kg; Naan: 61.66 kg; Jalebi: Jalebi kg
1987-12-15,Sunday,Sunny,Idli,14.82,38.35,1.19,Palak Paneer,12.22,10.14,2.52,Chole,10.52,17.84,0.47,Roti,94.45,51.76,5.29,Naan,93.28,62.59,7.88,Jalebi,340,0.24,5,Low,Medium,Bhindi Fry,Breakfast,314,0.33,129.36,70.35,108.51,8.65,188,15g/9g,Medium,Low,1416,Low,Less intake today,13.9,Palak Paneer: 10.14 kg; Chole: 17.84 kg; Roti: 51.76 kg; Jalebi: Jalebi kg
1970-09-29,Saturday,Cloudy,Puri Bhaji,46.73,6.37,3.15,Aloo Gobi,17.32,18.85,2.26,Baingan Bharta,28.76,23.13,2.65,Rice,81.3,80.04,7.82,Paratha,65.78,78.32,2.07,Gulab Jamun,177,0.21,2,High,Low,Palak Paneer,Breakfast,198,0.32,103.23,69.89,59.51,5.18,447,20g/4g,High,Low,1708,Low,Large intake today,17.25,Aloo Gobi: 18.85 kg; Baingan Bharta: 23.13 kg; Rice: 80.04 kg; Gulab Jamun: Gulab Jamun kg
1981-12-06,Friday,Rainy,Dosa,14.99,14.34,1.16,Dal Tadka,19.27,10.9,1.92,Kadhi Pakora,26.66,16.43,3.41,Naan,67.76,67.34,1.51,Paratha,67.64,56.47,2.0,Gulab Jamun,368,0.34,3,High,High,Methi Thepla,Breakfast,486,0.26,98.95,86.02,100.83,0.87,360,16g/5g,High,High,2826,High,Large intake today,6.46,Dal Tadka: 10.9 kg; Kadhi Pakora: 16.43 kg; Naan: 67.34 kg; Gulab Jamun: Gulab Jamun kg
1987-03-08,Tuesday,Cloudy,Upma,14.86,15.71,1.4,Butter Chicken,27.67,9.91,2.46,Kadhi Pakora,20.98,21.17,2.47,Naan,82.67,66.5,0.52,Rice,57.88,52.98,6.01,Jalebi,439,0.35,1,Low,High,Rajma,Lunch,414,0.22,65.65,50.61,127.92,7.41,235,10g/4g,Low,High,2901,Low,Perfect meal balance,24.15,Butter Chicken: 9.91 kg; Kadhi Pakora: 21.17 kg; Naan: 66.5 kg; Jalebi: Jalebi kg
1986-03-07,Sunday,Cloudy,Upma,28.27,14.11,2.92,Butter Chicken,20.74,10.22,0.41,Dal Tadka,15.11,9.14,1.32,Rice,78.51,68.48,7.4,Roti,70.57,64.45,2.62,Gulab Jamun,460,0.21,4,Medium,Low,Baingan Bharta,Lunch,381,0.48,53.26,128.15,40.04,5.33,146,9g/3g,Low,Medium,1529,Medium,Perfect meal balance,6.68,Butter Chicken: 10.22 kg; Dal Tadka: 9.14 kg; Rice: 68.48 kg; Gulab Jamun: Gulab Jamun kg
2002-11-09,Thursday,Sunny,Dosa,31.99,7.04,4.89,Butter Chicken,20.34,10.11,3.96,Kadhi Pakora,28.16,21.96,0.37,Rice,58.29,64.66,0.83,Naan,99.41,43.33,9.74,Halwa,467,0.39,2,Low,High,Malai Kofta,Dinner,458,0.25,105.46,94.19,60.35,5.66,137,10g/12g,Low,Low,1673,High,Large intake today,20.96,Butter Chicken: 10.11 kg; Kadhi Pakora: 21.96 kg; Rice: 64.66 kg; Halwa: Halwa kg
2016-05-24,Monday,Sunny,Poha,49.29,27.55,3.67,Paneer Butter Masala,17.83,11.66,3.14,Bhindi Fry,20.0,10.22,1.89,Paratha,72.27,49.44,3.65,Rice,60.5,59.26,8.68,Halwa,339,0.38,5,Medium,Medium,Kadai Paneer,Dinner,181,0.43,56.31,140.62,119.53,9.84,321,8g/8g,Low,Medium,1482,High,Large intake today,15.52,Paneer Butter Masala: 11.66 kg; Bhindi Fry: 10.22 kg; Paratha: 49.44 kg; Halwa: Halwa kg
2019-02-19,Friday,Sunny,Puri Bhaji,13.77,14.63,4.9,Aloo Paratha,23.99,11.64,4.34,Pulao,21.93,10.47,0.97,Naan,61.62,66.23,8.37,Paratha,80.29,66.56,2.07,Halwa,343,0.36,3,Low,Low,Methi Thepla,Breakfast,305,0.39,58.64,102.82,76.99,6.58,278,6g/6g,Low,High,1993,Low,Perfect meal balance,7.66,Aloo Paratha: 11.64 kg; Pulao: 10.47 kg; Naan: 66.23 kg; Halwa: Halwa kg
2014-08-05,Sunday,Sunny,Pav Bhaji,11.27,17.18,1.27,Aloo Gobi,26.47,20.48,3.59,Kadhi Pakora,19.57,18.98,3.79,Naan,70.52,75.87,5.56,Roti,64.98,72.82,9.89,Halwa,104,0.42,3,Low,Low,Bhindi Fry,Breakfast,374,0.23,51.97,62.48,118.21,7.96,381,10g/13g,Low,Low,2653,High,Less intake today,23.22,Aloo Gobi: 20.48 kg; Kadhi Pakora: 18.98 kg; Naan: 75.87 kg; Halwa: Halwa kg
2004-05-13,Wednesday,Rainy,Upma,34.09,29.62,1.14,Butter Chicken,23.64,16.89,2.84,Gobi Manchurian,17.34,22.36,0.67,Rice,79.45,41.33,3.84,Paratha,53.28,64.38,5.2,Kheer,326,0.23,3,Medium,Low,Baingan Bharta,Dinner,163,0.44,117.55,115.67,43.14,9.74,385,20g/5g,Medium,Low,1279,Medium,Perfect meal balance,14.25,Butter Chicken: 16.89 kg; Gobi Manchurian: 22.36 kg; Rice: 41.33 kg; Kheer: Kheer kg
2022-12-28,Sunday,Sunny,Upma,34.43,16.96,1.86,Rajma,15.63,21.75,2.05,Dal Tadka,24.06,16.44,4.64,Roti,89.64,60.25,6.64,Naan,83.08,65.78,3.13,Jalebi,197,0.21,1,High,Low,Gobi Manchurian,Dinner,102,0.44,108.52,55.04,129.49,5.9,115,8g/4g,Medium,High,2971,Low,Large intake today,15.6,Rajma: 21.75 kg; Dal Tadka: 16.44 kg; Roti: 60.25 kg; Jalebi: Jalebi kg
1995-05-12,Monday,Rainy,Dosa,47.1,20.56,4.76,Butter Chicken,14.61,21.11,0.56,Baingan Bharta,10.49,18.13,4.18,Paratha,75.54,86.75,2.59,Rice,64.64,85.97,7.0,Kheer,155,0.35,3,Low,High,Puri Bhaji,Breakfast,454,0.41,77.01,61.37,57.39,0.3,312,19g/3g,Low,Medium,2673,Low,Less intake today,19.47,Butter Chicken: 21.11 kg; Baingan Bharta: 18.13 kg; Paratha: 86.75 kg; Kheer: Kheer kg
1976-02-28,Sunday,Sunny,Poha,48.38,14.97,1.51,Rajma,23.06,15.3,3.93,Dum Aloo,14.73,17.61,2.93,Naan,93.37,48.34,1.73,Roti,74.65,89.97,9.29,Halwa,492,0.31,2,Low,High,Poha,Breakfast,127,0.22,79.91,80.12,52.0,1.67,426,12g/8g,Medium,High,1771,Low,Less intake today,18.6,Rajma: 15.3 kg; Dum Aloo: 17.61 kg; Naan: 48.34 kg; Halwa: Halwa kg
1985-10-30,Sunday,Rainy,Pav Bhaji,33.66,30.0,0.49,Aloo Paratha,18.5,9.28,3.43,Pulao,20.52,8.21,4.76,Rice,77.87,79.11,9.65,Naan,52.23,65.68,6.86,Halwa,417,0.48,2,Medium,Medium,Dum Aloo,Breakfast,459,0.43,129.06,113.72,84.58,1.31,395,14g/11g,Medium,Medium,2875,Low,Less intake today,23.88,Aloo Paratha: 9.28 kg; Pulao: 8.21 kg; Rice: 79.11 kg; Halwa: Halwa kg
2012-08-03,Thursday,Cloudy,Puri Bhaji,36.41,23.98,1.22,Chole,24.97,15.59,3.55,Kadhi Pakora,18.11,8.28,1.08,Naan,90.25,85.94,7.58,Roti,62.7,84.48,2.52,Kheer,213,0.3,5,High,Medium,Vegetable Biryani,Lunch,449,0.49,65.72,95.4,70.87,5.05,379,19g/13g,High,Low,1439,Low,Less intake today,16.42,Chole: 15.59 kg; Kadhi Pakora: 8.28 kg; Naan: 85.94 kg; Kheer: Kheer kg
2024-08-25,Wednesday,Rainy,Poha,15.29,40.48,1.34,Methi Thepla,20.33,22.36,3.14,Chana Masala,26.53,17.08,3.96,Roti,66.93,49.04,5.47,Paratha,56.75,79.38,1.15,Gulab Jamun,184,0.25,3,Low,High,Pav Bhaji,Breakfast,378,0.4,128.84,123.92,73.37,5.94,337,17g/15g,Medium,Medium,1518,High,Large intake today,8.09,Methi Thepla: 22.36 kg; Chana Masala: 17.08 kg; Roti: 49.04 kg; Gulab Jamun: Gulab Jamun kg
1990-07-03,Tuesday,Cloudy,Pav Bhaji,42.88,29.17,1.35,Aloo Paratha,11.58,13.57,0.93,Bhindi Fry,29.8,24.95,0.73,Naan,78.85,77.05,7.83,Rice,78.59,89.98,5.91,Gulab Jamun,498,0.38,3,High,Low,Dal Tadka,Lunch,112,0.4,69.53,141.5,103.9,1.25,332,13g/12g,High,Low,2146,Low,Large intake today,16.64,Aloo Paratha: 13.57 kg; Bhindi Fry: 24.95 kg; Naan: 77.05 kg; Gulab Jamun: Gulab Jamun kg
1977-06-09,Thursday,Cloudy,Idli,26.88,27.62,2.33,Paneer Butter Masala,26.39,12.13,3.27,Dum Aloo,20.3,10.33,0.94,Rice,72.78,74.54,9.5,Naan,58.88,69.62,6.61,Halwa,280,0.21,3,High,Low,Paneer Butter Masala,Lunch,291,0.37,125.21,108.33,78.89,1.19,308,19g/11g,Medium,Low,1742,Low,Less intake today,12.13,Paneer Butter Masala: 12.13 kg; Dum Aloo: 10.33 kg; Rice: 74.54 kg; Halwa: Halwa kg
2019-12-20,Saturday,Sunny,Upma,32.7,5.79,0.14,Paneer Butter Masala,14.25,13.14,2.28,Chole,16.85,12.23,3.85,Paratha,67.86,40.04,1.71,Roti,78.38,47.52,9.13,Halwa,469,0.42,2,Low,High,Bhindi Fry,Dinner,323,0.33,96.51,55.01,59.96,5.23,104,20g/10g,Low,High,1207,Low,Perfect meal balance,19.49,Paneer Butter Masala: 13.14 kg; Chole: 12.23 kg; Paratha: 40.04 kg; Halwa: Halwa kg
1989-01-24,Wednesday,Sunny,Puri Bhaji,31.79,5.56,3.36,Butter Chicken,21.05,14.0,0.08,Aloo Gobi,17.64,15.24,3.25,Paratha,83.03,64.45,0.29,Roti,53.68,67.19,2.03,Gulab Jamun,337,0.25,1,Low,Low,Kadai Paneer,Lunch,433,0.45,110.19,58.47,130.96,3.37,121,19g/4g,Medium,Low,2008,Low,Large intake today,18.31,Butter Chicken: 14.0 kg; Aloo Gobi: 15.24 kg; Paratha: 64.45 kg; Gulab Jamun: Gulab Jamun kg
1987-10-07,Saturday,Sunny,Poha,42.35,26.92,0.51,Pav Bhaji,18.07,21.44,0.02,Pulao,15.77,9.94,3.77,Roti,54.13,61.1,8.7,Rice,96.61,69.76,7.85,Halwa,121,0.45,2,High,High,Paneer Butter Masala,Breakfast,352,0.38,92.57,139.11,43.48,3.92,194,14g/5g,Medium,Medium,2199,Medium,Less intake today,21.8,Pav Bhaji: 21.44 kg; Pulao: 9.94 kg; Roti: 61.1 kg; Halwa: Halwa kg
2008-03-08,Monday,Cloudy,Poha,49.24,35.64,3.27,Bhindi Fry,25.26,17.24,0.39,Paneer Butter Masala,15.95,10.53,4.67,Roti,61.58,70.81,5.18,Paratha,53.81,55.63,8.11,Gulab Jamun,389,0.49,1,Medium,High,Aloo Gobi,Dinner,384,0.49,127.43,96.61,40.39,4.4,239,17g/13g,High,Medium,1545,Medium,Less intake today,24.69,Bhindi Fry: 17.24 kg; Paneer Butter Masala: 10.53 kg; Roti: 70.81 kg; Gulab Jamun: Gulab Jamun kg
1972-04-12,Thursday,Sunny,Dosa,47.22,29.36,4.82,Pav Bhaji,20.48,8.37,3.57,Paneer Butter Masala,17.81,11.39,2.83,Rice,81.88,88.28,0.47,Naan,76.03,88.58,3.09,Gulab Jamun,227,0.25,2,Medium,Medium,Aloo Paratha,Breakfast,267,0.47,79.41,149.75,102.01,2.56,452,18g/11g,Medium,High,1607,Low,Less intake today,9.72,Pav Bhaji: 8.37 kg; Paneer Butter Masala: 11.39 kg; Rice: 88.28 kg; Gulab Jamun: Gulab Jamun kg
2007-02-16,Sunday,Cloudy,Upma,48.55,31.4,2.92,Palak Paneer,19.5,8.17,2.98,Pulao,16.71,9.33,3.94,Roti,53.99,65.38,3.5,Naan,91.25,79.94,8.78,Gulab Jamun,285,0.33,5,Medium,High,Malai Kofta,Breakfast,177,0.22,122.84,52.07,74.25,3.08,167,17g/14g,High,Medium,1290,High,Perfect meal balance,14.28,Palak Paneer: 8.17 kg; Pulao: 9.33 kg; Roti: 65.38 kg; Gulab Jamun: Gulab Jamun kg
