Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-03-27,Breakfast,2187,2233,72.45,62.11,324,10.34,No Event,3,Moderate Waste,6.54,2.76,Windy,Portion sizes seem optimal; continue as is.
2024-01-26,Breakfast,1940,1901,87.63,53.0,323,34.63,No Event,1,Moderate Waste,0.76,0.59,Cloudy,Consider changing the menu or improving food quality.
2024-10-07,Breakfast,1419,1385,59.51,59.48,295,0.03,Sports Day,5,Minimal Waste,2.85,0.97,Rainy,Increase portions slightly for high energy consumption.
2024-02-10,Breakfast,1967,1970,71.39,50.26,324,21.13,Sports Day,4,Minimal Waste,7.49,1.68,Cloudy,Increase portions slightly for high energy consumption.
2024-06-08,Dinner,3521,3546,62.06,57.19,353,4.87,Staff Meeting,4,High Waste,8.5,6.39,Rainy,Reduce portion size by 10-20% for the next meal.
2024-09-20,Dinner,3587,3539,71.75,61.61,320,10.14,Staff Meeting,4,High Waste,6.53,3.34,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-26,Dinner,2627,2611,61.89,53.28,364,8.61,Staff Meeting,3,High Waste,6.79,1.24,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-01-14,Breakfast,1950,1997,86.34,49.5,305,36.84,Staff Meeting,2,Moderate Waste,0.67,0.58,Sunny,Consider changing the menu or improving food quality.
2024-01-28,Lunch,2057,2097,94.89,42.26,383,52.63,Holiday,5,Minimal Waste,0.66,0.52,Windy,Portion sizes seem optimal; continue as is.
2024-10-02,Dinner,3307,3295,69.35,44.65,471,24.7,Staff Meeting,3,High Waste,4.78,4.75,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-15,Dinner,3783,3833,78.8,58.07,475,20.73,Staff Meeting,5,Minimal Waste,4.1,3.38,Windy,Portion sizes seem optimal; continue as is.
2024-07-14,Breakfast,2247,2282,91.87,84.06,278,7.81,Staff Meeting,2,High Waste,3.33,1.82,Windy,Reduce portion size by 10-20% for the next meal.
2024-10-17,Dinner,3506,3493,58.09,49.49,415,8.6,Staff Meeting,5,Minimal Waste,4.43,2.0,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-24,Breakfast,1133,1087,64.16,50.88,296,13.28,No Event,4,High Waste,5.47,5.15,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-07,Lunch,2861,2827,92.13,89.19,324,2.94,No Event,3,High Waste,9.9,7.34,Windy,Reduce portion size by 10-20% for the next meal.
2024-03-10,Breakfast,1151,1183,91.77,44.78,346,46.99,Staff Meeting,2,Moderate Waste,9.14,5.51,Windy,Consider changing the menu or improving food quality.
2024-07-24,Breakfast,2447,2459,69.57,40.29,282,29.28,Holiday,2,High Waste,8.71,3.83,Windy,Reduce portion size by 10-20% for the next meal.
2024-06-30,Breakfast,2379,2349,69.67,44.52,327,25.15,Holiday,1,Minimal Waste,8.88,4.55,Cloudy,Consider changing the menu or improving food quality.
2024-01-17,Lunch,2598,2577,74.47,57.02,326,17.45,Holiday,5,Minimal Waste,2.49,1.8,Windy,Portion sizes seem optimal; continue as is.
2024-08-01,Dinner,2998,2977,72.79,53.38,438,19.41,Holiday,3,Minimal Waste,9.86,3.73,Sunny,Portion sizes seem optimal; continue as is.
2024-10-07,Breakfast,1226,1206,61.53,43.82,317,17.71,Holiday,3,High Waste,4.98,3.66,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-11,Breakfast,1114,1075,66.3,60.5,340,5.8,Staff Meeting,5,Minimal Waste,2.1,1.36,Windy,Portion sizes seem optimal; continue as is.
2024-01-27,Lunch,2994,2954,98.17,59.49,361,38.68,No Event,5,Minimal Waste,2.34,1.55,Cloudy,Portion sizes seem optimal; continue as is.
