Date,Weekday/Weekend,Holiday Flag,Meal Time,Meal Type,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Meal Variability Score,Cost per Meal (INR),Total Meal Cost (INR),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Diner Age Group,Vegetarian Meal Ratio,Leftovers Feedback,Hygiene Rating,Previous Day Leftover Used,Diner Feedback,Feedback Sentiment,Food Shortage Flag,Leftover Repurposed Flag,Suggestions
2024-06-18,Weekday,Yes,Breakfast,Dietary,116,97,36.19,32.3,327,2,24.95,2420.15,3.89,Holiday,2,High Waste,1.25,0.33,Cloudy,Elderly,0.73,Average,7,Yes,Needs improvement,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-01-24,Weekday,Yes,Breakfast,Special,221,207,54.64,40.09,303,3,10.31,2134.17,14.55,No Event,4,Minimal Waste,4.96,1.6,Sunny,Elderly,0.45,Poor,10,Yes,Good food,Positive,No,Yes,Portion sizes seem optimal; continue as is.
2024-10-24,Weekday,Yes,Breakfast,Special,201,207,61.35,31.39,286,5,29.43,6092.01,29.96,No Event,3,Minimal Waste,0.77,0.63,Rainy,Elderly,0.59,Average,9,No,Needs improvement,Neutral,Yes,Yes,Consider offering warm food options.
2024-09-15,Weekend,No,Lunch,Regular,192,183,41.76,33.14,298,4,12.26,2243.58,8.62,No Event,1,Moderate Waste,4.07,3.91,Windy,Elderly,0.37,Good,9,Yes,Good food,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-05-02,Weekday,Yes,Lunch,Regular,119,132,68.93,56.87,332,2,12.15,1603.8,12.06,Sports Day,4,Minimal Waste,1.16,0.68,Sunny,Adults,0.68,Average,7,Yes,Tasty but less,Positive,Yes,Yes,Increase portions slightly for high energy consumption.
2024-01-31,Weekday,No,Lunch,Special,160,134,58.2,43.77,242,5,37.71,5053.14,14.43,Holiday,3,Moderate Waste,1.66,0.36,Cloudy,Adults,0.28,Average,10,No,Needs improvement,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-10-04,Weekday,No,Dinner,Special,278,289,51.72,44.7,231,1,21.23,6135.47,7.02,Staff Meeting,1,Minimal Waste,0.4,0.2,Sunny,Elderly,0.74,Good,7,No,Good food,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-04-16,Weekday,Yes,Breakfast,Regular,147,123,49.73,26.33,345,3,17.4,2140.2,23.4,Holiday,2,Moderate Waste,1.87,0.36,Cloudy,Youth,0.74,Good,8,Yes,Tasty but less,Positive,No,No,Consider changing the menu or improving food quality.
2024-01-22,Weekday,No,Dinner,Special,179,171,61.41,58.36,247,1,18.01,3079.71,3.05,Sports Day,1,Moderate Waste,1.52,0.17,Sunny,Adults,0.59,Poor,7,No,Needs improvement,Neutral,No,No,Consider changing the menu or improving food quality.
2024-08-25,Weekend,No,Dinner,Special,148,168,31.87,30.92,200,3,49.72,8352.96,0.95,Sports Day,5,Minimal Waste,3.44,2.08,Cloudy,Adults,0.72,Average,10,Yes,Average experience,Neutral,Yes,Yes,Increase portions slightly for high energy consumption.
2024-09-11,Weekday,No,Dinner,Dietary,170,179,50.68,38.61,219,5,45.01,8056.79,12.07,Staff Meeting,4,Moderate Waste,2.7,1.62,Cloudy,Elderly,0.55,Average,10,No,Average experience,Neutral,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-10-19,Weekend,Yes,Lunch,Regular,202,192,68.74,29.44,310,1,30.12,5783.04,39.3,Staff Meeting,3,High Waste,1.57,0.98,Windy,Elderly,0.4,Average,7,No,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-02-08,Weekday,No,Dinner,Dietary,215,209,49.98,35.04,253,5,14.87,3107.83,14.94,Sports Day,1,High Waste,4.82,3.84,Rainy,Adults,0.78,Average,9,No,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-05-23,Weekday,Yes,Breakfast,Special,261,265,55.94,35.12,325,2,34.38,9110.7,20.82,No Event,4,Moderate Waste,1.48,1.21,Cloudy,Elderly,0.49,Poor,9,Yes,Average experience,Neutral,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-04-24,Weekday,Yes,Breakfast,Special,172,164,66.35,57.84,201,5,49.84,8173.76,8.51,Staff Meeting,2,High Waste,2.52,2.2,Cloudy,Adults,0.2,Average,9,No,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-05-27,Weekday,No,Dinner,Dietary,189,166,66.83,42.06,321,3,24.23,4022.18,24.77,Sports Day,4,Minimal Waste,2.86,1.01,Cloudy,Elderly,0.56,Average,7,Yes,Needs improvement,Neutral,No,No,Increase portions slightly for high energy consumption.
2024-01-06,Weekend,No,Breakfast,Special,210,182,39.48,26.04,288,1,11.55,2102.1,13.44,No Event,4,Minimal Waste,1.81,0.81,Windy,Elderly,0.6,Good,8,No,Needs improvement,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-05-04,Weekend,Yes,Dinner,Regular,182,170,40.13,28.53,301,3,17.4,2958.0,11.6,No Event,2,Moderate Waste,0.77,0.39,Rainy,Adults,0.78,Average,9,No,Tasty but less,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-06-23,Weekend,Yes,Breakfast,Special,220,211,55.94,45.98,319,1,11.89,2508.79,9.96,Holiday,2,Minimal Waste,3.11,0.23,Cloudy,Youth,0.72,Poor,10,Yes,Needs improvement,Neutral,No,No,Consider changing the menu or improving food quality.
2024-03-03,Weekend,No,Breakfast,Dietary,116,115,41.53,25.57,348,3,15.75,1811.25,15.96,No Event,5,High Waste,0.59,0.27,Cloudy,Elderly,0.41,Average,8,No,Needs improvement,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-11-06,Weekday,No,Breakfast,Regular,120,122,47.55,43.8,331,2,12.85,1567.7,3.75,Staff Meeting,2,Moderate Waste,3.94,1.51,Sunny,Youth,0.43,Good,10,No,Tasty but less,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-08-09,Weekday,No,Dinner,Special,172,165,67.16,50.3,225,5,27.76,4580.4,16.86,Holiday,3,High Waste,4.57,0.82,Windy,Youth,0.39,Average,8,No,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-08-04,Weekend,Yes,Breakfast,Dietary,232,234,56.94,41.1,296,2,42.23,9881.82,15.84,Holiday,5,High Waste,3.26,1.93,Sunny,Elderly,0.76,Average,10,No,Good food,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-02-13,Weekday,Yes,Breakfast,Regular,184,194,51.91,40.52,343,5,49.78,9657.32,11.39,Holiday,4,High Waste,4.64,3.22,Rainy,Adults,0.44,Average,10,No,Tasty but less,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-03-17,Weekend,Yes,Dinner,Dietary,100,103,32.36,29.54,228,5,17.33,1784.99,2.82,Sports Day,4,Moderate Waste,1.54,0.46,Cloudy,Adults,0.55,Poor,9,Yes,Average experience,Neutral,Yes,No,Increase portions slightly for high energy consumption.
2024-09-06,Weekday,Yes,Dinner,Regular,139,123,61.78,45.53,218,2,44.7,5498.1,16.25,Holiday,5,Minimal Waste,0.82,0.51,Windy,Youth,0.61,Poor,8,No,Average experience,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-10-05,Weekend,Yes,Dinner,Dietary,184,155,67.49,67.35,299,5,15.58,2414.9,0.14,Holiday,4,Moderate Waste,0.65,0.48,Sunny,Youth,0.52,Poor,8,Yes,Tasty but less,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-06-14,Weekday,Yes,Breakfast,Special,243,213,67.01,32.86,308,1,27.27,5808.51,34.15,Holiday,3,Moderate Waste,3.89,1.36,Cloudy,Youth,0.21,Average,8,Yes,Needs improvement,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-01-03,Weekday,No,Lunch,Dietary,159,169,31.69,27.8,216,1,16.7,2822.3,3.89,Sports Day,3,Moderate Waste,1.93,1.2,Cloudy,Adults,0.65,Good,7,Yes,Good food,Positive,Yes,No,Increase portions slightly for high energy consumption.
2024-05-03,Weekday,Yes,Lunch,Dietary,203,189,54.74,45.98,258,3,14.88,2812.32,8.76,Sports Day,3,Moderate Waste,3.36,1.8,Cloudy,Adults,0.65,Poor,10,Yes,Tasty but less,Positive,No,No,Increase portions slightly for high energy consumption.
2024-02-27,Weekday,No,Lunch,Special,265,280,66.84,45.91,237,2,46.63,13056.4,20.93,Holiday,3,Moderate Waste,2.08,0.23,Cloudy,Youth,0.65,Good,9,No,Good food,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-02-07,Weekday,No,Breakfast,Dietary,241,226,69.52,26.55,329,3,11.25,2542.5,42.97,No Event,3,Moderate Waste,2.7,2.0,Sunny,Adults,0.68,Poor,7,Yes,Average experience,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-02-24,Weekend,No,Lunch,Regular,216,199,37.19,28.33,317,1,34.18,6801.82,8.86,No Event,2,Moderate Waste,1.39,0.85,Windy,Youth,0.5,Poor,9,Yes,Needs improvement,Neutral,No,No,Consider changing the menu or improving food quality.
2024-10-16,Weekday,No,Lunch,Dietary,185,158,41.76,25.58,207,1,19.79,3126.82,16.18,No Event,3,Moderate Waste,2.05,1.34,Sunny,Elderly,0.73,Good,8,No,Tasty but less,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-10-08,Weekday,No,Breakfast,Special,223,238,67.81,66.3,253,4,27.86,6630.68,1.51,Sports Day,1,Moderate Waste,4.94,0.84,Windy,Adults,0.52,Average,7,No,Tasty but less,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-09-04,Weekday,Yes,Lunch,Special,267,247,61.31,34.83,229,1,11.9,2939.3,26.48,Staff Meeting,1,Minimal Waste,0.64,0.5,Cloudy,Adults,0.61,Poor,10,Yes,Average experience,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-10-05,Weekend,Yes,Breakfast,Regular,204,178,48.8,25.9,346,5,27.16,4834.48,22.9,Sports Day,3,Minimal Waste,2.71,1.3,Cloudy,Youth,0.75,Poor,10,No,Tasty but less,Positive,No,Yes,Increase portions slightly for high energy consumption.
2024-06-08,Weekend,Yes,Breakfast,Special,168,178,53.17,44.82,301,1,32.65,5811.7,8.35,Sports Day,3,Moderate Waste,0.21,0.19,Cloudy,Youth,0.5,Average,8,Yes,Needs improvement,Neutral,Yes,Yes,Increase portions slightly for high energy consumption.
2024-03-28,Weekday,No,Breakfast,Regular,207,179,44.78,27.89,211,2,40.64,7274.56,16.89,Sports Day,3,Moderate Waste,2.26,1.37,Sunny,Adults,0.64,Good,7,No,Needs improvement,Neutral,No,Yes,Increase portions slightly for high energy consumption.
2024-03-25,Weekday,No,Dinner,Special,269,250,68.13,28.46,229,4,25.58,6395.0,39.67,Holiday,5,Minimal Waste,4.18,1.11,Rainy,Elderly,0.74,Poor,9,Yes,Tasty but less,Positive,No,Yes,Consider offering warm food options.
2024-08-08,Weekday,Yes,Lunch,Regular,147,138,67.96,42.46,240,5,48.85,6741.3,25.5,Staff Meeting,2,Minimal Waste,4.29,3.73,Windy,Elderly,0.67,Average,7,No,Tasty but less,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-06-05,Weekday,No,Breakfast,Dietary,130,106,38.56,36.8,305,2,42.32,4485.92,1.76,Holiday,4,High Waste,1.36,0.48,Cloudy,Adults,0.49,Average,10,Yes,Needs improvement,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-01-15,Weekday,No,Lunch,Regular,234,213,43.47,38.0,261,3,30.95,6592.35,5.47,Sports Day,5,Minimal Waste,3.35,0.67,Rainy,Elderly,0.31,Average,10,Yes,Average experience,Neutral,No,Yes,Increase portions slightly for high energy consumption.
2024-01-15,Weekday,No,Lunch,Dietary,104,103,42.95,26.76,225,2,41.58,4282.74,16.19,No Event,1,High Waste,1.65,0.8,Sunny,Elderly,0.51,Good,8,Yes,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-08-18,Weekend,No,Breakfast,Dietary,111,95,61.48,39.51,206,4,49.58,4710.1,21.97,Holiday,1,Minimal Waste,4.64,2.47,Rainy,Youth,0.5,Average,8,No,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-06-14,Weekday,No,Breakfast,Dietary,202,189,53.0,33.46,228,5,15.42,2914.38,19.54,Staff Meeting,4,Minimal Waste,2.55,2.36,Cloudy,Adults,0.6,Good,7,No,Good food,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-09-15,Weekend,Yes,Lunch,Regular,188,190,40.2,33.31,229,3,15.86,3013.4,6.89,Staff Meeting,2,Moderate Waste,1.09,0.5,Rainy,Youth,0.43,Average,9,Yes,Tasty but less,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-02-21,Weekday,No,Breakfast,Special,269,274,56.48,53.58,259,1,28.64,7847.36,2.9,Sports Day,2,Moderate Waste,4.01,2.11,Cloudy,Adults,0.32,Poor,9,No,Needs improvement,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-09-07,Weekend,Yes,Breakfast,Special,255,272,60.77,49.06,297,2,10.35,2815.2,11.71,Holiday,2,Minimal Waste,2.89,0.47,Cloudy,Adults,0.41,Average,7,No,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-04-18,Weekday,Yes,Lunch,Dietary,115,88,56.89,36.01,301,2,11.82,1040.16,20.88,Sports Day,1,Moderate Waste,4.91,0.89,Windy,Youth,0.29,Average,7,No,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-01-30,Weekday,Yes,Lunch,Regular,136,130,66.71,56.94,337,5,11.79,1532.7,9.77,Holiday,4,High Waste,3.68,2.15,Cloudy,Elderly,0.56,Good,10,No,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-10-20,Weekend,No,Breakfast,Dietary,211,218,45.61,43.39,350,1,48.54,10581.72,2.22,No Event,4,Moderate Waste,1.95,0.55,Cloudy,Elderly,0.55,Good,8,Yes,Good food,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-08-18,Weekend,No,Lunch,Dietary,120,112,69.84,52.67,336,4,15.25,1708.0,17.17,No Event,3,Minimal Waste,1.57,0.16,Windy,Adults,0.41,Poor,8,No,Needs improvement,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-07-05,Weekday,Yes,Lunch,Special,127,112,35.02,27.26,233,4,23.11,2588.32,7.76,Sports Day,5,Moderate Waste,3.96,1.69,Cloudy,Adults,0.45,Average,9,No,Tasty but less,Positive,No,No,Increase portions slightly for high energy consumption.
2024-09-29,Weekend,Yes,Breakfast,Regular,120,115,61.13,56.11,210,4,11.29,1298.35,5.02,No Event,4,High Waste,2.02,0.17,Sunny,Adults,0.51,Poor,10,Yes,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-04-08,Weekday,No,Lunch,Special,212,195,40.71,39.44,291,5,19.75,3851.25,1.27,Holiday,2,Minimal Waste,3.41,2.39,Windy,Elderly,0.8,Poor,7,No,Needs improvement,Neutral,No,No,Consider changing the menu or improving food quality.
2024-06-20,Weekday,Yes,Dinner,Regular,223,227,32.62,27.39,234,1,22.56,5121.12,5.23,Sports Day,2,High Waste,2.93,1.71,Cloudy,Adults,0.55,Average,7,Yes,Good food,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-08-10,Weekend,No,Lunch,Regular,123,141,56.56,49.3,238,3,30.33,4276.53,7.26,Holiday,1,Moderate Waste,4.64,3.24,Windy,Youth,0.31,Average,8,Yes,Needs improvement,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-05-05,Weekend,No,Dinner,Special,238,230,33.71,30.73,204,2,25.15,5784.5,2.98,Staff Meeting,4,Minimal Waste,4.37,1.19,Sunny,Adults,0.2,Poor,7,Yes,Good food,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-04-17,Weekday,Yes,Breakfast,Regular,139,126,66.6,42.74,287,2,49.7,6262.2,23.86,Sports Day,5,Moderate Waste,3.68,3.0,Sunny,Elderly,0.65,Average,10,Yes,Needs improvement,Neutral,No,Yes,Increase portions slightly for high energy consumption.
2024-04-16,Weekday,No,Breakfast,Dietary,245,231,63.71,50.68,314,4,33.06,7636.86,13.03,No Event,3,High Waste,1.83,0.8,Windy,Elderly,0.4,Good,10,Yes,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-04-16,Weekday,Yes,Lunch,Dietary,188,193,64.34,57.72,315,4,25.77,4973.61,6.62,Sports Day,5,Minimal Waste,4.03,2.19,Rainy,Adults,0.58,Good,10,No,Average experience,Neutral,Yes,Yes,Increase portions slightly for high energy consumption.
2024-01-05,Weekday,No,Breakfast,Dietary,161,176,56.8,41.5,296,5,36.99,6510.24,15.3,Staff Meeting,2,High Waste,4.59,0.75,Cloudy,Adults,0.21,Poor,10,No,Tasty but less,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-04-19,Weekday,No,Breakfast,Special,184,200,44.25,38.9,274,1,27.3,5460.0,5.35,Sports Day,2,Minimal Waste,2.78,0.4,Sunny,Adults,0.61,Good,9,No,Good food,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-03-07,Weekday,Yes,Lunch,Regular,133,111,55.97,49.6,202,1,15.23,1690.53,6.37,Sports Day,2,High Waste,4.3,3.26,Windy,Elderly,0.5,Average,8,No,Needs improvement,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-10-14,Weekday,Yes,Lunch,Dietary,226,226,32.05,29.11,243,5,29.45,6655.7,2.94,Staff Meeting,4,Moderate Waste,1.32,0.75,Rainy,Youth,0.79,Good,7,Yes,Average experience,Neutral,No,Yes,Consider offering warm food options.
2024-07-16,Weekday,Yes,Lunch,Dietary,127,128,60.97,54.15,201,5,24.63,3152.64,6.82,Staff Meeting,2,Minimal Waste,4.8,3.52,Cloudy,Adults,0.57,Average,8,No,Good food,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-09-03,Weekday,Yes,Lunch,Dietary,166,139,56.26,32.95,231,3,13.62,1893.18,23.31,No Event,3,Minimal Waste,4.68,3.63,Windy,Adults,0.28,Good,7,Yes,Average experience,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-09-08,Weekend,No,Lunch,Special,196,175,48.68,46.19,221,5,46.5,8137.5,2.49,Sports Day,4,Moderate Waste,2.21,1.72,Sunny,Youth,0.72,Poor,7,Yes,Tasty but less,Positive,No,No,Increase portions slightly for high energy consumption.
2024-02-08,Weekday,Yes,Dinner,Special,155,140,45.39,30.21,238,4,46.61,6525.4,15.18,Holiday,2,High Waste,1.33,1.13,Cloudy,Elderly,0.62,Poor,7,Yes,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-02-06,Weekday,Yes,Breakfast,Dietary,202,201,36.01,25.78,332,4,47.01,9449.01,10.23,Sports Day,3,High Waste,1.11,0.83,Cloudy,Adults,0.31,Average,10,Yes,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-03-22,Weekday,No,Dinner,Special,206,213,64.13,48.09,264,5,37.0,7881.0,16.04,Holiday,2,High Waste,0.78,0.11,Windy,Youth,0.76,Good,7,Yes,Average experience,Neutral,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-08-16,Weekday,Yes,Lunch,Regular,214,227,65.23,58.27,212,1,47.46,10773.42,6.96,Sports Day,3,Minimal Waste,2.26,1.12,Windy,Adults,0.57,Good,7,Yes,Average experience,Neutral,Yes,No,Increase portions slightly for high energy consumption.
2024-02-05,Weekday,Yes,Breakfast,Regular,191,198,43.46,43.36,210,2,12.89,2552.22,0.1,Sports Day,1,High Waste,3.87,1.29,Windy,Elderly,0.42,Good,8,No,Good food,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-01-01,Weekday,No,Lunch,Regular,178,194,46.09,28.59,286,3,25.98,5040.12,17.5,Sports Day,2,Minimal Waste,3.26,2.88,Sunny,Youth,0.74,Average,8,No,Good food,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-09-11,Weekday,Yes,Dinner,Regular,206,180,34.67,27.49,246,2,30.43,5477.4,7.18,Staff Meeting,4,High Waste,4.28,2.71,Sunny,Elderly,0.34,Good,8,Yes,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-09-23,Weekday,Yes,Breakfast,Special,260,264,39.2,32.7,339,4,27.59,7283.76,6.5,No Event,2,Moderate Waste,4.11,1.09,Windy,Elderly,0.49,Average,7,No,Needs improvement,Neutral,Yes,Yes,Consider changing the menu or improving food quality.
2024-02-22,Weekday,No,Dinner,Dietary,189,196,43.85,29.8,243,3,17.61,3451.56,14.05,Holiday,4,High Waste,2.25,1.4,Rainy,Youth,0.21,Poor,9,No,Tasty but less,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-04-08,Weekday,Yes,Dinner,Regular,121,136,51.12,26.3,254,4,37.73,5131.28,24.82,Holiday,3,Minimal Waste,2.09,1.63,Windy,Youth,0.71,Good,9,Yes,Good food,Positive,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-05-28,Weekday,No,Breakfast,Special,251,267,55.73,38.65,318,3,32.58,8698.86,17.08,No Event,4,Moderate Waste,3.67,0.64,Cloudy,Youth,0.46,Good,10,No,Needs improvement,Neutral,Yes,No,Portion sizes seem optimal; continue as is.
2024-04-27,Weekend,No,Dinner,Dietary,226,206,51.8,34.05,241,3,48.37,9964.22,17.75,Sports Day,2,Moderate Waste,3.59,0.82,Cloudy,Youth,0.73,Poor,7,No,Tasty but less,Positive,No,No,Consider changing the menu or improving food quality.
2024-09-13,Weekday,No,Breakfast,Dietary,184,201,39.02,29.56,213,1,37.48,7533.48,9.46,No Event,1,Moderate Waste,1.0,0.23,Cloudy,Elderly,0.51,Poor,9,Yes,Good food,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-07-31,Weekday,Yes,Lunch,Dietary,135,111,30.11,25.35,211,4,30.38,3372.18,4.76,Staff Meeting,1,High Waste,2.08,0.44,Cloudy,Adults,0.33,Good,7,Yes,Needs improvement,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-02-21,Weekday,Yes,Dinner,Dietary,209,183,35.42,35.1,229,2,21.17,3874.11,0.32,Sports Day,4,High Waste,2.17,0.56,Windy,Youth,0.36,Good,8,No,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-01-27,Weekend,Yes,Dinner,Special,282,288,62.74,51.24,348,5,16.22,4671.36,11.5,Holiday,5,Minimal Waste,3.4,0.97,Rainy,Youth,0.51,Average,9,Yes,Needs improvement,Neutral,Yes,No,Consider offering warm food options.
2024-01-09,Weekday,No,Dinner,Regular,127,146,67.26,38.31,334,4,44.08,6435.68,28.95,Staff Meeting,4,High Waste,4.15,3.47,Sunny,Youth,0.38,Poor,10,No,Needs improvement,Neutral,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-03-09,Weekend,No,Dinner,Dietary,126,113,37.63,29.81,348,1,32.25,3644.25,7.82,Sports Day,3,High Waste,1.96,0.24,Sunny,Adults,0.77,Poor,9,Yes,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-07-22,Weekday,Yes,Breakfast,Special,181,179,55.91,42.57,236,2,18.83,3370.57,13.34,Staff Meeting,2,High Waste,2.59,1.31,Cloudy,Elderly,0.25,Average,8,No,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-07-28,Weekend,Yes,Lunch,Regular,189,190,47.26,37.08,283,5,46.8,8892.0,10.18,No Event,2,Minimal Waste,1.7,0.72,Cloudy,Adults,0.4,Good,10,Yes,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-04-08,Weekday,Yes,Dinner,Regular,134,105,36.57,31.24,201,4,23.11,2426.55,5.33,Staff Meeting,5,High Waste,4.22,1.44,Windy,Adults,0.69,Good,8,No,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-03-16,Weekend,Yes,Dinner,Regular,139,157,57.5,39.26,310,1,40.76,6399.32,18.24,Staff Meeting,3,Minimal Waste,1.3,0.11,Cloudy,Youth,0.63,Good,7,No,Tasty but less,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-09-10,Weekday,Yes,Lunch,Dietary,199,190,40.34,31.55,241,5,19.58,3720.2,8.79,No Event,2,Moderate Waste,4.97,2.22,Cloudy,Adults,0.25,Average,7,Yes,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-04-04,Weekday,No,Lunch,Dietary,169,146,58.04,40.13,246,3,46.13,6734.98,17.91,Sports Day,3,Minimal Waste,2.83,2.61,Rainy,Adults,0.49,Poor,9,No,Good food,Positive,No,No,Increase portions slightly for high energy consumption.
2024-02-24,Weekend,Yes,Lunch,Dietary,165,162,60.91,60.57,220,4,31.94,5174.28,0.34,Holiday,5,High Waste,2.46,2.26,Rainy,Elderly,0.42,Poor,10,Yes,Needs improvement,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-05-15,Weekday,Yes,Breakfast,Regular,239,225,64.92,32.76,209,3,43.26,9733.5,32.16,Holiday,2,High Waste,2.56,1.83,Rainy,Elderly,0.52,Poor,10,Yes,Tasty but less,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-06-11,Weekday,Yes,Breakfast,Dietary,187,187,51.65,46.6,293,3,33.48,6260.76,5.05,Holiday,1,Minimal Waste,3.73,3.07,Windy,Adults,0.65,Poor,7,Yes,Average experience,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-07-15,Weekday,Yes,Breakfast,Dietary,241,217,67.79,56.33,310,2,45.69,9914.73,11.46,Staff Meeting,5,Minimal Waste,3.08,2.4,Cloudy,Youth,0.26,Good,10,Yes,Tasty but less,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-01-15,Weekday,Yes,Breakfast,Regular,166,166,34.8,32.74,261,1,12.33,2046.78,2.06,Holiday,3,Minimal Waste,3.67,0.78,Rainy,Adults,0.26,Average,10,Yes,Average experience,Neutral,No,Yes,Consider offering warm food options.
2024-01-27,Weekend,Yes,Dinner,Special,202,203,36.96,26.16,207,1,12.16,2468.48,10.8,No Event,2,Minimal Waste,1.84,1.53,Cloudy,Elderly,0.57,Poor,7,No,Needs improvement,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-10-24,Weekday,No,Breakfast,Special,162,144,58.05,44.36,317,1,20.43,2941.92,13.69,Staff Meeting,1,Moderate Waste,2.58,2.37,Windy,Adults,0.38,Average,9,Yes,Tasty but less,Positive,No,No,Consider changing the menu or improving food quality.
2024-01-28,Weekend,Yes,Lunch,Dietary,163,146,30.18,28.27,287,3,18.24,2663.04,1.91,Sports Day,4,High Waste,2.1,1.65,Rainy,Youth,0.51,Good,9,No,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-05-08,Weekday,Yes,Lunch,Regular,148,144,55.68,31.47,249,5,10.42,1500.48,24.21,Sports Day,2,High Waste,1.81,1.38,Cloudy,Elderly,0.46,Poor,7,No,Needs improvement,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-06-04,Weekday,Yes,Dinner,Regular,165,155,45.0,27.25,284,4,41.1,6370.5,17.75,Holiday,1,High Waste,4.37,0.42,Cloudy,Youth,0.23,Poor,7,Yes,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-05-24,Weekday,Yes,Dinner,Regular,215,211,54.08,31.23,312,5,37.31,7872.41,22.85,No Event,1,Minimal Waste,2.74,0.3,Cloudy,Elderly,0.41,Poor,7,No,Average experience,Neutral,No,No,Consider changing the menu or improving food quality.
